time,x,y
0.007881,0.0901886448264122,0.05374889448285103
0.057554,0.09017541259527206,0.05350529514253139
0.108516,0.09046513810753821,0.05307947624474763
0.148363,0.09038049139082431,0.052913853850215666
0.191557,0.09049438645690679,0.05287618391551076
0.236018,0.09040837483778595,0.05311724908139555
0.280518,0.09039682868145404,0.05320031376570834
0.319554,0.09051310699299721,0.05342273540619275
0.359573,0.09039602057914956,0.05346063128735903
0.410429,0.09037199356900369,0.053462719009701384
0.449509,0.09060775381448566,0.053057220017382285
0.488003,0.09115971251811474,0.05274692749463334
0.524614,0.09111385233342768,0.052760830798128946
0.561707,0.09093695338565194,0.05291724865125198
0.60024,0.09094799900252282,0.052720974908675805
0.638223,0.09101827557821136,0.05312893002578044
0.673982,0.09109573742903612,0.05306727212214367
0.711175,0.09114997413565853,0.05294267078320908
0.751014,0.09099149707721768,0.052836628561779946
0.791145,0.09104338663455812,0.05286490409463203
0.826408,0.09104619288788117,0.052895642615583424
0.86772,0.09105816414000703,0.0527653554907032
0.906071,0.09094072829712907,0.05251066715830681
0.945709,0.09097603972475365,0.05239431864937029
0.988004,0.09105106255416517,0.05259406519277808
1.028086,0.0911186883122038,0.05269286673904201
1.069006,0.09115092327090281,0.05264005436647454
1.108476,0.09097823410157883,0.0527074895739949
1.150413,0.09098882462826537,0.05293994545522107
1.186268,0.09100970492137488,0.052613319006641124
1.226283,0.0910108542021226,0.052874026058073426
1.267536,0.0909861151281275,0.053028429324993395
1.304321,0.09105812427722357,0.05295650185932539
2.826904,0.09110853068159083,0.052906152633357795
2.892465,0.09111840793975434,0.052994449604819346
2.937962,0.0911658300821162,0.0529731358274709
2.985681,0.09113297618477778,0.05301323499574498
3.028281,0.09135391866102283,0.05293285599754219
3.074187,0.091274980340939,0.05290247736855522
3.119075,0.09119430511611587,0.05300476828653536
3.167543,0.09118979355288068,0.052940544864607295
3.210108,0.09120174076571826,0.052854592022052116
3.258849,0.09120906222353711,0.052834815747266506
3.29853,0.09121418724401031,0.052820972354916576
3.338597,0.09142326102614665,0.052809005455370234
3.380524,0.09137670373094266,0.0528138429754345
3.420806,0.09139272419234643,0.052650075091258464
3.459583,0.0913377013637063,0.0524874863806715
3.499559,0.09121690191660382,0.0525038273581212
3.551169,0.09131792881572087,0.05237756925462103
3.586384,0.09138086700378545,0.05237319313334317
3.629231,0.09126565863447468,0.0524202815690917
3.675212,0.09144405381709293,0.05265093680714543
3.717868,0.09137363210102885,0.05248808958179238
3.759938,0.09122582606818952,0.0524333375804875
3.803468,0.09128709865254833,0.052546638690360144
3.845087,0.09149827572554223,0.05274687239035907
3.886291,0.09137090726688414,0.05233400806738396
3.923266,0.0913678102572405,0.0521430601325375
3.964542,0.09116833905535446,0.052235758255195566
4.012116,0.0914151015391971,0.05261059966205593
4.062176,0.09137218790826378,0.05243043198251054
4.100685,0.09145328793231669,0.05225504354481227
4.139279,0.09141032894763168,0.05204721879056125
4.17574,0.09144923289834431,0.052131121742364964
4.209777,0.09133215164297102,0.05203572960828348
4.252403,0.09118384361870382,0.05215911367529852
4.286008,0.09134028721278017,0.05201317081149375
4.319421,0.09117925895152067,0.05235563165453244
4.364261,0.091273809105439,0.0519824773078662
4.403393,0.09134998320658815,0.052096628770614786
4.440182,0.0913254092572517,0.052315179296105685
4.476334,0.09134555278290021,0.05250543619338542
4.514116,0.09138502694813505,0.05266679262718269
4.551819,0.09129733728720413,0.052258555391634466
4.589686,0.09138162082580294,0.05233037249191947
4.629186,0.0914406193028221,0.05238064446211897
4.663069,0.09139520241928405,0.05199293318105468
4.698845,0.0914349428800604,0.052266956899552644
4.73345,0.09156633023336558,0.05236991080025073
4.771445,0.09136537956933696,0.052288551704739186
4.807895,0.09084814984021944,0.052064332195776955
4.841083,0.0910520060747152,0.052316936209858236
4.880266,0.09115229747916259,0.052046966700298125
4.919963,0.09118813789444663,0.05201322312551714
4.959841,0.09129867242366321,0.05230034547824247
4.994776,0.0912403759917932,0.05182795361126471
5.034081,0.09074688313334406,0.0518245702714871
5.068996,0.09096699531426483,0.05199806655563964
5.105684,0.0912502266753248,0.052232971395876376
5.152526,0.09093220586100938,0.05194386335619137
5.184073,0.09059492685560191,0.05177912806158753
5.21701,0.09026532080486081,0.05179048179368023
5.250759,0.09071158612470093,0.05182468487963965
5.293621,0.09082735028157814,0.05203574129345141
5.334197,0.09103744638366629,0.05229692257823036
5.374079,0.09106641375702808,0.05257758305139383
5.407539,0.09108669091838133,0.052774045382608256
5.449091,0.09109767522120746,0.052921962574391065
5.48561,0.09116542112820337,0.05275811630953148
5.526145,0.09116956582064523,0.05284927676050023
5.558098,0.09126649194237157,0.05262300370086938
5.593968,0.09118950541112418,0.052839014292407005
5.630581,0.0906968345016789,0.05250082584962604
5.664872,0.09074167865906022,0.05258429605187724
5.700522,0.09085949034368697,0.05276770831043745
5.735505,0.0909093316854337,0.05281921025243061
5.774715,0.09094422062465642,0.05285526161182582
5.809927,0.09107846816540127,0.052790588799636176
5.844808,0.09103095938873544,0.052713699057166205
5.878982,0.09054670097508608,0.05244578343145558
5.932414,0.09068565173402433,0.05271496010381735
5.968369,0.09079266485987605,0.052251754505347504
6.010634,0.09041859237544687,0.05208041326407383
6.051003,0.09061822687322961,0.05245603374483837
