x_out,y_out
0.0009365754667669535,0.0018160970648750663
0.008437366224825382,0.006899867672473192
-0.04162915423512459,0.026608923450112343
-0.10142146795988083,0.04486663267016411
-0.1578986644744873,0.05992746725678444
-0.20281846821308136,0.0704919844865799
-0.24551740288734436,0.07929399609565735
-0.2936004400253296,0.08791413903236389
-0.3398416340351105,0.09484299272298813
-0.38384658098220825,0.0999816432595253
-0.431232750415802,0.10440108180046082
-0.4628352224826813,0.1066318154335022
-0.49868133664131165,0.10802711546421051
-0.5269761085510254,0.10839487612247467
-0.5587496757507324,0.10820190608501434
-0.5836530327796936,0.10770922899246216
-0.6117720603942871,0.10645034164190292
-0.6339778304100037,0.1049264520406723
-0.6589987874031067,0.10250266641378403
-0.678438663482666,0.10035166889429092
-0.7000830769538879,0.09758559614419937
-0.717294454574585,0.09520017355680466
-0.733506977558136,0.09261482208967209
-0.7518548369407654,0.08937495946884155
-0.7662609815597534,0.0865083858370781
-0.7822208404541016,0.08294039964675903
-0.7947624921798706,0.07999959588050842
-0.8087405562400818,0.07648152858018875
-0.8217949271202087,0.07298041135072708
-0.8296311497688293,0.07090494781732559
-0.8300641179084778,0.07095371186733246
-0.8304393291473389,0.0709896832704544
