x_out,y_out
-0.10607076436281204,-0.0015774820931255817
-0.10768864303827286,-0.003613679204136133
-0.12824997305870056,-0.010112825781106949
-0.14405716955661774,-0.015938805416226387
-0.15950895845890045,-0.023030949756503105
-0.17404389381408691,-0.030860623344779015
-0.192184180021286,-0.042107827961444855
-0.20542274415493011,-0.05065130069851875
-0.22282159328460693,-0.06275701522827148
-0.2381284236907959,-0.07420997321605682
-0.2503241300582886,-0.08286172896623611
-0.2615358233451843,-0.09200046211481094
-0.2724808156490326,-0.10296373814344406
-0.2815907299518585,-0.11425169557332993
-0.2929269075393677,-0.1293691098690033
-0.30110764503479004,-0.14104166626930237
-0.3086946904659271,-0.15316341817378998
-0.31509047746658325,-0.16408798098564148
-0.32392871379852295,-0.1796213835477829
-0.3295786678791046,-0.19164489209651947
-0.3346744477748871,-0.20297010242938995
-0.33974689245224,-0.21491312980651855
-0.3443075120449066,-0.22685016691684723
-0.3479841649532318,-0.2381443977355957
-0.35266435146331787,-0.2543262541294098
-0.3552776575088501,-0.2662704288959503
-0.3577928841114044,-0.27759379148483276
-0.3604017496109009,-0.28899767994880676
-0.363746702671051,-0.3032776117324829
-0.3663767874240875,-0.3137720227241516
-0.36899277567863464,-0.3251628279685974
-0.3710139989852905,-0.33612707257270813
-0.3729698359966278,-0.3467821776866913
-0.3750336170196533,-0.3574567437171936
-0.3771919012069702,-0.36760401725769043
-0.37965288758277893,-0.37725740671157837
-0.38271698355674744,-0.38727790117263794
-0.3857438266277313,-0.39718255400657654
-0.38837215304374695,-0.40589335560798645
-0.391748309135437,-0.41512858867645264
-0.3949972689151764,-0.4242723882198334
-0.3981541395187378,-0.4332510530948639
-0.40126273036003113,-0.4422535300254822
-0.404195636510849,-0.4512324631214142
-0.4071275293827057,-0.4602033793926239
-0.41006043553352356,-0.46846652030944824
-0.413207083940506,-0.4772120416164398
-0.41643187403678894,-0.485744833946228
-0.4193733334541321,-0.49347826838493347
-0.42265215516090393,-0.5013553500175476
-0.42587652802467346,-0.5094639658927917
-0.4297622740268707,-0.5192375779151917
-0.43323707580566406,-0.5271661281585693
-0.43726736307144165,-0.5372173190116882
-0.44068723917007446,-0.5448276400566101
-0.44376638531684875,-0.5516490340232849
-0.44849324226379395,-0.5613409876823425
-0.45149126648902893,-0.5677173733711243
-0.4551047086715698,-0.5748739838600159
-0.45936375856399536,-0.5833788514137268
-0.46288299560546875,-0.5898039937019348
-0.4675315320491791,-0.5979673266410828
-0.471306711435318,-0.6049013137817383
-0.4758242666721344,-0.612977147102356
-0.4793773591518402,-0.6189224123954773
-0.48305952548980713,-0.6245303750038147
-0.48682183027267456,-0.6300447583198547
-0.4905098080635071,-0.6353792548179626
-0.49450692534446716,-0.6410218477249146
-0.49959054589271545,-0.6480139493942261
-0.50339275598526,-0.6526598334312439
-0.5071503520011902,-0.6568347811698914
-0.5125844478607178,-0.6629517674446106
-0.5177201628684998,-0.6687699556350708
-0.5218471884727478,-0.673427939414978
-0.5257711410522461,-0.6777369379997253
-0.5311682224273682,-0.6839348077774048
-0.5348192453384399,-0.6880284547805786
-0.5384102463722229,-0.6920754313468933
-0.5420738458633423,-0.6960105299949646
-0.5472298264503479,-0.7012784481048584
-0.5498055815696716,-0.7035593390464783
-0.553692638874054,-0.7068307995796204
-0.5589476227760315,-0.7110498547554016
-0.562602698802948,-0.7137366533279419
-0.5663444995880127,-0.7163747549057007
-0.5707138776779175,-0.7194951176643372
-0.5746784806251526,-0.7221137881278992
-0.5786643624305725,-0.7246226668357849
-0.5823599100112915,-0.7269824147224426
-0.5865100026130676,-0.7295761704444885
-0.5905877947807312,-0.7320051193237305
-0.594045877456665,-0.7338637113571167
-0.5979087948799133,-0.7361733317375183
-0.6016769409179688,-0.7383707761764526
-0.6054985523223877,-0.7407833337783813
-0.6093137264251709,-0.7429990172386169
-0.6128735542297363,-0.7450242638587952
-0.6167190074920654,-0.7473286986351013
-0.6192147731781006,-0.7485150098800659
-0.6228991746902466,-0.7501639127731323
-0.6268984079360962,-0.7519754767417908
-0.6296821236610413,-0.753272294998169
-0.6335950493812561,-0.7549447417259216
-0.6379053592681885,-0.7569540143013
-0.6431775093078613,-0.7594043016433716
-0.6465609073638916,-0.7610243558883667
-0.6498832106590271,-0.762542188167572
-0.6528338193893433,-0.7639349102973938
-0.6556656956672668,-0.765437126159668
-0.6585700511932373,-0.767009973526001
-0.6622186899185181,-0.7688495516777039
-0.665787935256958,-0.7707951664924622
-0.6690011620521545,-0.7722442746162415
-0.671820342540741,-0.7734646797180176
-0.6746762990951538,-0.7746246457099915
-0.6776168942451477,-0.7757828831672668
-0.6805999279022217,-0.7769063115119934
-0.6832690238952637,-0.7779046893119812
-0.6855453848838806,-0.7786470651626587
-0.6886147260665894,-0.7803296446800232
-0.6911271214485168,-0.7810165882110596
-0.693351149559021,-0.7816616892814636
-0.6960172653198242,-0.7829048037528992
-0.698208212852478,-0.7840245962142944
-0.7011820673942566,-0.7856846451759338
-0.7035791277885437,-0.7866244912147522
-0.7063854932785034,-0.7879183292388916
-0.7084034085273743,-0.7886273860931396
-0.7107375860214233,-0.7897930145263672
-0.7131351828575134,-0.7911983132362366
-0.7158173322677612,-0.7923750281333923
-0.7182309031486511,-0.7935757040977478
-0.7204833626747131,-0.7946635484695435
-0.7229109406471252,-0.7961882948875427
-0.7248057723045349,-0.7975082397460938
-0.7268223166465759,-0.7988806366920471
-0.7293160557746887,-0.8005009293556213
-0.7309527397155762,-0.8014355897903442
-0.7329211831092834,-0.8026333451271057
-0.7346125841140747,-0.8038119077682495
-0.736786961555481,-0.8054481148719788
-0.7385867834091187,-0.806346595287323
-0.7403249740600586,-0.8077459931373596
-0.7416079640388489,-0.8088708519935608
-0.7439098358154297,-0.8106767535209656
-0.7454230189323425,-0.8122840523719788
-0.7472090721130371,-0.8139858245849609
-0.748892068862915,-0.8149526119232178
-0.7501031756401062,-0.8155834674835205
-0.7518259286880493,-0.8171610832214355
-0.7535168528556824,-0.8180577158927917
