x_out,y_out
-0.10559666901826859,-0.0013307662447914481
-0.1070396900177002,-0.004056439269334078
-0.13134706020355225,-0.012797382660210133
-0.16349712014198303,-0.02486877702176571
-0.19472748041152954,-0.03785254433751106
-0.22472822666168213,-0.05148226022720337
-0.2533217966556549,-0.06583864241838455
-0.28055307269096375,-0.08078272640705109
-0.3065245747566223,-0.09632309526205063
-0.3315507173538208,-0.11227642744779587
-0.35560342669487,-0.12866570055484772
-0.3781878650188446,-0.14520126581192017
-0.3998972773551941,-0.1620764434337616
-0.42045119404792786,-0.17922848463058472
-0.4400186538696289,-0.19634391367435455
-0.4585249423980713,-0.21334803104400635
-0.4760574698448181,-0.2305726557970047
-0.49269038438796997,-0.24771949648857117
-0.5085185766220093,-0.2647989094257355
-0.5234084129333496,-0.2817991375923157
-0.5373683571815491,-0.29840734601020813
-0.550699770450592,-0.31502124667167664
-0.5631735324859619,-0.33135131001472473
-0.5751627683639526,-0.34756213426589966
-0.5865444540977478,-0.363435298204422
-0.5974015593528748,-0.3791213929653168
-0.6075385808944702,-0.39461690187454224
-0.6172410249710083,-0.40984103083610535
-0.6263785362243652,-0.42454326152801514
-0.635063111782074,-0.4390539526939392
-0.6433173418045044,-0.45316872000694275
-0.651130199432373,-0.46692895889282227
-0.6584922671318054,-0.48035550117492676
-0.6656396985054016,-0.49357935786247253
-0.672325611114502,-0.5064902305603027
-0.6786908507347107,-0.5190166234970093
-0.6848506331443787,-0.5312934517860413
-0.6906918287277222,-0.5432158708572388
-0.6962839365005493,-0.5550008416175842
-0.7015560865402222,-0.566237211227417
-0.7067041993141174,-0.5772387385368347
-0.7115168571472168,-0.588030993938446
-0.7162756323814392,-0.5985408425331116
-0.720569372177124,-0.6087793111801147
-0.7249047756195068,-0.6188518404960632
-0.7291152477264404,-0.6284358501434326
-0.7330030798912048,-0.6376438140869141
-0.7368664145469666,-0.6468278765678406
-0.7406497001647949,-0.6556445956230164
-0.744216799736023,-0.6643496751785278
-0.7475969195365906,-0.6724753975868225
-0.7509216070175171,-0.6805887222290039
-0.7542850971221924,-0.6884283423423767
-0.7574466466903687,-0.6962171196937561
-0.7604265809059143,-0.7036517262458801
-0.7633874416351318,-0.7108010649681091
-0.7663567066192627,-0.7179131507873535
-0.7691203951835632,-0.7247192859649658
-0.7718783617019653,-0.731257438659668
-0.7745803594589233,-0.7376903295516968
-0.7771998643875122,-0.7437962293624878
-0.7797256112098694,-0.7500429749488831
-0.782153308391571,-0.7558435201644897
-0.7845537066459656,-0.7611322402954102
-0.7869651913642883,-0.7666454911231995
-0.7893766164779663,-0.7719378471374512
-0.7916828393936157,-0.7769677639007568
-0.7940333485603333,-0.7820824384689331
-0.7960432767868042,-0.7869378924369812
-0.7981387376785278,-0.7913879156112671
-0.8003799319267273,-0.7960178256034851
-0.8025437593460083,-0.8004521727561951
-0.8044775128364563,-0.8047032952308655
-0.8066504597663879,-0.8090118169784546
-0.8085485100746155,-0.8129882216453552
-0.8099803328514099,-0.8161870241165161
-0.8099526166915894,-0.8161962032318115
-0.8100574016571045,-0.8160869479179382
-0.8101761937141418,-0.8159856796264648
-0.810218095779419,-0.8160022497177124
-0.8102486729621887,-0.8159766793251038
-0.810375452041626,-0.8159797787666321
-0.8104618191719055,-0.8159656524658203
-0.8106015920639038,-0.8158506155014038
-0.8106386065483093,-0.815819501876831
-0.8106393218040466,-0.8158042430877686
-0.8106904029846191,-0.8158038258552551
-0.8107795715332031,-0.8157808780670166
-0.8108360767364502,-0.8157467246055603
-0.810942530632019,-0.8156881332397461
-0.8109753727912903,-0.8156707286834717
-0.811087429523468,-0.815601646900177
-0.8111710548400879,-0.8155611157417297
-0.8112612962722778,-0.8154670000076294
-0.8113583326339722,-0.8153701424598694
-0.8113628625869751,-0.815321683883667
-0.8114672303199768,-0.8152680993080139
-0.8115445971488953,-0.8152409791946411
-0.8117819428443909,-0.8152016997337341
-0.8117462992668152,-0.815162718296051
-0.8118374943733215,-0.8150805830955505
-0.811922013759613,-0.8150817155838013
-0.8119885921478271,-0.8149762153625488
-0.8120370507240295,-0.8149669170379639
-0.8120920658111572,-0.8148837089538574
-0.8121305108070374,-0.8148625493049622
-0.8121649622917175,-0.8147966861724854
-0.8122000098228455,-0.8147879838943481
-0.8124032616615295,-0.8147667050361633
-0.8124979138374329,-0.8147628903388977
