x_out,y_out
0.0020643838215619326,0.0026797663886100054
0.004484719131141901,0.007894010283052921
-0.05841044336557388,0.027721773833036423
-0.12146476656198502,0.04350300878286362
-0.18222664296627045,0.05723661929368973
-0.25280115008354187,0.07059326767921448
-0.31056442856788635,0.07956402748823166
-0.3773204982280731,0.08787880837917328
-0.42309680581092834,0.09185080230236053
-0.4861101508140564,0.09615539759397507
-0.5386902689933777,0.09751730412244797
-0.5806390643119812,0.09797235578298569
-0.6384876370429993,0.0967283621430397
-0.6863283514976501,0.0941133201122284
-0.7402298450469971,0.09016904979944229
-0.785085916519165,0.08567488938570023
-0.8281609416007996,0.08026338368654251
-0.8630749583244324,0.07530112564563751
-0.9105827212333679,0.06746245920658112
-0.956378161907196,0.05866270884871483
-0.9939287304878235,0.05081980302929878
-1.0301190614700317,0.042499374598264694
-1.0652494430541992,0.033565159887075424
-1.0989441871643066,0.024439016357064247
-1.131505012512207,0.015088490210473537
-1.1629388332366943,0.005362862721085548
-1.193327784538269,-0.00454742880538106
-1.2224067449569702,-0.014589334838092327
-1.2504774332046509,-0.024772247299551964
-1.2820208072662354,-0.03682524710893631
-1.3080264329910278,-0.047423090785741806
-1.3370873928070068,-0.059768300503492355
-1.360886573791504,-0.07028509676456451
-1.3838882446289062,-0.08081652224063873
-1.4096916913986206,-0.09316550195217133
-1.4308146238327026,-0.10376567393541336
-1.451070785522461,-0.11417590826749802
-1.4769567251205444,-0.1279342919588089
-1.4956721067428589,-0.13800416886806488
-1.513538122177124,-0.14804930984973907
-1.5278502702713013,-0.1563793420791626
-1.5445234775543213,-0.16621321439743042
-1.5630742311477661,-0.17762528359889984
-1.5782948732376099,-0.1871330291032791
-1.5929324626922607,-0.19636043906211853
-1.6094094514846802,-0.20692546665668488
-1.6230034828186035,-0.21588636934757233
-1.6360095739364624,-0.2246747761964798
-1.6485953330993652,-0.23340082168579102
-1.6625795364379883,-0.24338796734809875
-1.674007534980774,-0.2517063319683075
-1.6849987506866455,-0.2597600519657135
-1.6956249475479126,-0.2676237225532532
-1.7058751583099365,-0.275178462266922
-1.7158304452896118,-0.28265181183815
-1.7253925800323486,-0.28991687297821045
-1.7346400022506714,-0.2970191538333893
-1.7435206174850464,-0.3039535880088806
-1.7506754398345947,-0.30964094400405884
-1.7589430809020996,-0.3162641227245331
-1.7682632207870483,-0.3237815201282501
-1.7772270441055298,-0.33111050724983215
-1.783374309539795,-0.33614853024482727
-1.7916728258132935,-0.3429615795612335
-1.7985844612121582,-0.3485996425151825
-1.8052231073379517,-0.3540748357772827
-1.8116899728775024,-0.35935717821121216
-1.8179389238357544,-0.3644979000091553
-1.8240282535552979,-0.369471937417984
-1.8308982849121094,-0.37516236305236816
-1.8365775346755981,-0.37985992431640625
-1.8420555591583252,-0.3843974769115448
-1.847343921661377,-0.3887999355792999
-1.8532987833023071,-0.3937641382217407
-1.8590811491012573,-0.3985491096973419
-1.862377643585205,-0.4011348485946655
-1.8624441623687744,-0.4010756313800812
-1.8625085353851318,-0.40101563930511475
-1.8625757694244385,-0.4009755253791809
-1.8626434803009033,-0.4009351432323456
-1.862674355506897,-0.40087246894836426
-1.8627077341079712,-0.40083539485931396
-1.8627938032150269,-0.40080443024635315
-1.862845540046692,-0.4007565379142761
-1.8628814220428467,-0.40069904923439026
-1.8628740310668945,-0.40063703060150146
-1.8628700971603394,-0.400579035282135
-1.8628512620925903,-0.4005078375339508
-1.8628123998641968,-0.40045636892318726
-1.8627831935882568,-0.4004373252391815
-1.8627535104751587,-0.4004093110561371
-1.8627203702926636,-0.40037834644317627
-1.8626865148544312,-0.4003514051437378
-1.862646460533142,-0.4003187119960785
-1.8625987768173218,-0.40027907490730286
-1.8625589609146118,-0.40024280548095703
-1.8625459671020508,-0.4002021849155426
-1.8625541925430298,-0.40015336871147156
-1.862565040588379,-0.40010881423950195
-1.8625929355621338,-0.4000731110572815
-1.8626033067703247,-0.4000430703163147
-1.8626214265823364,-0.40000101923942566
-1.862653136253357,-0.39995524287223816
-1.8626856803894043,-0.3999071419239044
-1.8627212047576904,-0.39986300468444824
-1.8627392053604126,-0.39981764554977417
-1.8627617359161377,-0.399781197309494
-1.8627408742904663,-0.3997431695461273
-1.8627283573150635,-0.3997070789337158
