time,x,y
0.01183,0.07431182265281677,0.5408725738525391
0.066617,0.07440354749560356,0.5410791218280792
0.112829,0.0743309085816145,0.5410851961374282
0.154275,0.07441690764576196,0.5412279574275016
0.196256,0.07445728323087096,0.5409623946487903
0.239604,0.07433742785312235,0.541059330703616
0.277321,0.07432436622878164,0.5409706701052783
0.317237,0.07430125995864645,0.5409315495142161
0.354543,0.07430294237606845,0.5409222789520197
0.395765,0.07426048499793991,0.5409754061241866
0.434816,0.07424819695667256,0.5410426716484571
0.485716,0.07446817765038292,0.5405536554589432
0.521881,0.07444865874032931,0.5410611931119553
0.564816,0.07433460489021271,0.5411184402847224
0.60497,0.07429649566188028,0.5410841445903732
0.639067,0.07428088778458236,0.5410294710145918
0.693913,0.0742282159223312,0.5411331777753997
0.732624,0.07401921709039884,0.5411802736409305
0.778705,0.07387291790804618,0.541213240746802
0.819697,0.07389513955745049,0.5409021144776563
0.858417,0.07412059768401645,0.5410594777234707
0.895821,0.07427841837261262,0.5411696319955408
0.935002,0.07421423857945104,0.5408017078662388
0.972384,0.07391336292899181,0.5412147489922374
1.014164,0.07398024908317695,0.5411981774783126
1.054325,0.073911794753169,0.5410464051754469
1.125279,0.07386387672216344,0.5409401645634409
1.162993,0.0739295423063979,0.5406585865479394
1.205363,0.07381510764592307,0.5408163560711522
1.244148,0.0737350033835907,0.5409267947374011
1.28462,0.07367893039995803,0.5410041018037753
1.323326,0.07379459699859282,0.5406858367320031
1.35992,0.07366657036154511,0.5405474155959776
1.400043,0.07387970382299353,0.5405530169479155
1.438862,0.07379410113919209,0.5407195870489351
1.478479,0.07373417926053108,0.5408361861196489
1.516452,0.07369766318354935,0.5409352219463518
1.558079,0.0736601102201914,0.5409862722409557
1.59628,0.07376011495730704,0.5407202589330031
1.630438,0.07364243293264505,0.5405715111366776
1.666666,0.07385619150719341,0.5405691864520616
1.704751,0.07394154784068373,0.5408407332203006
1.743634,0.07386406652022834,0.5408917344799489
1.780271,0.07378315502725645,0.5409566893213584
1.821822,0.07372651698217612,0.5410021577103452
1.856422,0.07388108016469155,0.5410387956774693
1.893658,0.07384237651022924,0.5409348379148565
1.928523,0.073754091588605,0.5410097320279942
1.96808,0.07377213480031887,0.5408603663823034
2.005865,0.07392903883625546,0.5408710738923865
2.038375,0.07392979963182046,0.5406935503715974
2.079716,0.07386328366886619,0.5406728171750199
2.119881,0.07381410957618285,0.5407428292841716
2.155141,0.07376012323171506,0.5408205910412175
2.19212,0.0737567656488163,0.5407567746163797
2.229865,0.07381657106435893,0.5405896513367667
2.264207,0.07376840203930556,0.5407142247849188
2.298781,0.07380509617875748,0.5405886912609574
2.337836,0.07378634234334541,0.5406357507890269
2.376962,0.07391080304032424,0.5407874070296748
4.639477,0.07382780865661404,0.5408517954630697
4.677247,0.07370287640971412,0.5406156109291445
4.72337,0.07374172458904713,0.5406019874972792
4.757561,0.07401513839662482,0.5408082973950985
4.794573,0.07392302080422924,0.5407531400914707
